Id,Weekly_Sales
1_1_2012-11-02,32752.351000000002
1_1_2012-11-09,22113.93160000002
1_1_2012-11-16,24653.841900000003
1_1_2012-11-23,26124.652600000027
1_1_2012-11-30,31330.91310000001
1_1_2012-12-07,27651.968799999988
1_1_2012-12-14,40103.19959999997
1_1_2012-12-21,44192.6308
1_1_2012-12-28,27256.5936
1_1_2013-01-04,22931.632099999995
1_1_2013-01-11,22970.305
1_1_2013-01-18,23883.118000000002
1_1_2013-01-25,21026.654700000003
1_1_2013-02-01,29110.295000000024
1_1_2013-02-08,30867.479000000036
1_1_2013-02-15,37530.433800000006
1_1_2013-02-22,29098.546399999996
1_1_2013-03-01,29895.62749999999
1_1_2013-03-08,29815.812699999988
1_1_2013-03-15,23645.389099999993
1_1_2013-03-22,28445.331300000013
1_1_2013-03-29,32973.48210000001
1_1_2013-04-05,36176.4643
1_1_2013-04-12,29070.436
1_1_2013-04-19,26247.639200000012
1_1_2013-04-26,24163.28180000002
1_1_2013-05-03,31794.080999999995
1_1_2013-05-10,32194.0196
1_1_2013-05-17,33472.42860000001
1_1_2013-05-24,28387.748999999985
1_1_2013-05-31,28037.446399999983
1_1_2013-06-07,28379.933500000014
1_1_2013-06-14,27994.833599999994
1_1_2013-06-21,27899.22839999999
1_1_2013-06-28,28310.5213
1_1_2013-07-05,28129.76799999999
1_1_2013-07-12,28408.3012
1_1_2013-07-19,28473.63099999999
1_1_2013-07-26,28052.70669999999
1_2_2012-11-02,47926.99430000005
1_2_2012-11-09,47008.07910000002
1_2_2012-11-16,46421.420900000005
1_2_2012-11-23,49172.83370000002
1_2_2012-11-30,50464.789899999996
1_2_2012-12-07,47801.53869999999
1_2_2012-12-14,49442.51079999998
1_2_2012-12-21,53970.10629999998
1_2_2012-12-28,46606.2298
1_2_2013-01-04,45906.089399999975
1_2_2013-01-11,46177.23499999998
1_2_2013-01-18,44901.99870000001
1_2_2013-01-25,43757.37590000001
1_2_2013-02-01,50490.98379999999
1_2_2013-02-08,51241.91950000001
1_2_2013-02-15,51368.57070000004
1_2_2013-02-22,50540.945900000006
1_2_2013-03-01,49796.621499999994
1_2_2013-03-08,48423.9738
1_2_2013-03-15,46652.99830000002
1_2_2013-03-22,49268.00660000002
1_2_2013-03-29,48426.374800000005
1_2_2013-04-05,51430.2898
1_2_2013-04-12,47403.674900000005
1_2_2013-04-19,47803.926400000004
1_2_2013-04-26,47534.62629999999
1_2_2013-05-03,94615.2176
1_2_2013-05-10,93326.57079999999
1_2_2013-05-17,93138.1665
1_2_2013-05-24,93595.19120000002
1_2_2013-05-31,92783.65799999997
1_2_2013-06-07,93983.1704
1_2_2013-06-14,93873.63610000002
1_2_2013-06-21,93924.55549999999
1_2_2013-06-28,91799.94539999995
1_2_2013-07-05,94107.32050000003
1_2_2013-07-12,93800.8253
1_2_2013-07-19,95618.023
1_2_2013-07-26,93625.6704
1_3_2012-11-02,10962.329999999998
1_3_2012-11-09,11530.773500000005
1_3_2012-11-16,11461.7784
1_3_2012-11-23,10601.571400000004
1_3_2012-11-30,11624.2395
1_3_2012-12-07,13392.121100000011
1_3_2012-12-14,14249.863700000004
1_3_2012-12-21,15315.510100000009
1_3_2012-12-28,10954.454699999993
1_3_2013-01-04,14595.912699999993
1_3_2013-01-11,14246.440099999996
1_3_2013-01-18,13337.526199999991
1_3_2013-01-25,12738.0252
1_3_2013-02-01,12867.577200000007
1_3_2013-02-08,14347.679100000007
1_3_2013-02-15,12991.862500000005
1_3_2013-02-22,12539.423000000003
1_3_2013-03-01,12401.174399999994
1_3_2013-03-08,11932.671199999992
1_3_2013-03-15,10393.343999999997
